Time,Frequency,Resistance,Anomaly
17/11/2020 14:27:40.606348,5009776.9,364.04,0
17/11/2020 14:27:41.606375,5009777,364.04,0
17/11/2020 14:27:42.606150,5009777,364.04,0
17/11/2020 14:27:43.606254,5009777.1,364.03,0
17/11/2020 14:27:44.606364,5009777.2,364.03,0
17/11/2020 14:27:45.605190,5009777.3,364.03,0
17/11/2020 14:27:46.606406,5009777.4,364.03,0
17/11/2020 14:27:47.606225,5009777.6,364.02,0
17/11/2020 14:27:48.606408,5009777.6,364.01,0
17/11/2020 14:27:49.606507,5009777.8,364,0
17/11/2020 14:27:50.605354,5009777.8,364,0
17/11/2020 14:27:51.606447,5009777.9,363.99,0
17/11/2020 14:27:52.606550,5009778,363.98,0
17/11/2020 14:27:53.605448,5009778.1,363.97,0
17/11/2020 14:27:54.605203,5009778.2,363.97,0
17/11/2020 14:27:55.606263,5009778.3,363.97,0
17/11/2020 14:27:56.606243,5009778.4,363.96,0
17/11/2020 14:27:57.606432,5009778.6,363.96,0
17/11/2020 14:27:58.605706,5009778.6,363.94,0
17/11/2020 14:27:59.606524,5009778.8,363.94,0
17/11/2020 14:28:0.606250,5009778.9,363.94,0
17/11/2020 14:28:1.606490,5009779,363.94,0
17/11/2020 14:28:2.606030,5009779,363.93,0
17/11/2020 14:28:3.606496,5009779.1,363.92,0
17/11/2020 14:28:4.606534,5009779.3,363.92,0
17/11/2020 14:28:5.605622,5009779.4,363.91,0
17/11/2020 14:28:6.606584,5009779.5,363.9,0
17/11/2020 14:28:7.606771,5009779.5,363.9,0
17/11/2020 14:28:8.605478,5009779.6,363.89,0
17/11/2020 14:28:9.605350,5009779.7,363.88,0
17/11/2020 14:28:10.606642,5009779.9,363.87,0
17/11/2020 14:28:11.605653,5009779.9,363.87,0
17/11/2020 14:28:12.605959,5009780,363.87,0
17/11/2020 14:28:13.606660,5009780.1,363.86,0
17/11/2020 14:28:14.604913,5009780.2,363.86,0
17/11/2020 14:28:15.606570,5009780.3,363.86,0
17/11/2020 14:28:16.606582,5009780.3,363.85,0
17/11/2020 14:28:17.605763,5009780.4,363.85,0
17/11/2020 14:28:18.606647,5009780.6,363.84,0
17/11/2020 14:28:19.606763,5009780.6,363.84,0
17/11/2020 14:28:20.605209,5009780.8,363.83,0
17/11/2020 14:28:21.606484,5009780.8,363.82,0
17/11/2020 14:28:22.606583,5009780.9,363.82,0
17/11/2020 14:28:23.606647,5009781,363.8,0
17/11/2020 14:28:24.606555,5009781,363.79,0
17/11/2020 14:28:25.606417,5009781.1,363.78,0
17/11/2020 14:28:26.606557,5009781.1,363.77,0
17/11/2020 14:28:27.606442,5009781.3,363.76,0
17/11/2020 14:28:28.605588,5009781.3,363.76,0
17/11/2020 14:28:29.605276,5009781.4,363.75,0
17/11/2020 14:28:30.606320,5009781.5,363.74,0
17/11/2020 14:28:31.606487,5009781.5,363.73,0
17/11/2020 14:28:32.606722,5009781.6,363.72,0
17/11/2020 14:28:33.606674,5009781.5,363.71,0
17/11/2020 14:28:34.606516,5009781.6,363.71,0
17/11/2020 14:28:35.605416,5009781.7,363.71,0
17/11/2020 14:28:36.606699,5009781.8,363.7,0
17/11/2020 14:28:37.606534,5009781.8,363.7,0
17/11/2020 14:28:38.607176,5009781.9,363.71,0
17/11/2020 14:28:39.607634,5009781.9,363.7,0
17/11/2020 14:28:40.608811,5009781.9,363.71,0
17/11/2020 14:28:41.609422,5009782,363.71,0
17/11/2020 14:28:42.610489,5009782.1,363.7,0
17/11/2020 14:28:43.611220,5009782.1,363.7,0
17/11/2020 14:28:44.606859,5009782.1,363.7,0
17/11/2020 14:28:45.607805,5009782.2,363.7,0
17/11/2020 14:28:46.608786,5009782.3,363.7,0
17/11/2020 14:28:47.606745,5009782.3,363.7,0
17/11/2020 14:28:48.606691,5009782.4,363.71,0
17/11/2020 14:28:49.606210,5009782.4,363.7,0
17/11/2020 14:28:50.606759,5009782.4,363.69,0
17/11/2020 14:28:51.606923,5009782.4,363.7,0
17/11/2020 14:28:52.605188,5009782.5,363.69,0
17/11/2020 14:28:53.606780,5009782.6,363.69,0
17/11/2020 14:28:54.606801,5009782.7,363.69,0
17/11/2020 14:28:55.607150,5009782.8,363.68,0
17/11/2020 14:28:56.608075,5009782.8,363.68,0
17/11/2020 14:28:57.608820,5009782.9,363.68,0
17/11/2020 14:28:58.609629,5009782.9,363.68,0
17/11/2020 14:28:59.610459,5009782.9,363.67,0
17/11/2020 14:29:0.611422,5009782.9,363.66,0
17/11/2020 14:29:1.607210,5009783,363.66,0
17/11/2020 14:29:2.608087,5009783.1,363.66,0
17/11/2020 14:29:3.608854,5009783.1,363.66,0
17/11/2020 14:29:4.606746,5009783.1,363.66,0
17/11/2020 14:29:5.606457,5009783.1,363.65,0
17/11/2020 14:29:6.606758,5009783.2,363.64,0
17/11/2020 14:29:7.606875,5009783.3,363.64,0
17/11/2020 14:29:8.606824,5009783.3,363.65,0
17/11/2020 14:29:9.606744,5009783.4,363.65,0
17/11/2020 14:29:10.606942,5009783.4,363.65,0
17/11/2020 14:29:11.606950,5009783.4,363.65,0
17/11/2020 14:29:12.606876,5009783.5,363.65,0
17/11/2020 14:29:13.606227,5009783.6,363.65,0
17/11/2020 14:29:14.605973,5009783.6,363.65,0
17/11/2020 14:29:15.607014,5009783.7,363.65,0
17/11/2020 14:29:16.606926,5009783.7,363.65,0
17/11/2020 14:29:17.606891,5009783.8,363.65,0
17/11/2020 14:29:18.606743,5009783.9,363.64,0
17/11/2020 14:29:19.607035,5009783.9,363.64,0
17/11/2020 14:29:20.607048,5009783.9,363.65,0
17/11/2020 14:29:21.605875,5009784,363.64,0
17/11/2020 14:29:22.607036,5009784,363.64,0
17/11/2020 14:29:23.607149,5009784,363.64,0
17/11/2020 14:29:24.606971,5009784.1,363.63,0
17/11/2020 14:29:25.607077,5009784.2,363.63,0
17/11/2020 14:29:26.606979,5009784.2,363.63,0
17/11/2020 14:29:27.606962,5009784.2,363.62,0
17/11/2020 14:29:28.607018,5009784.3,363.61,0
17/11/2020 14:29:29.607088,5009784.3,363.61,0
17/11/2020 14:29:30.607055,5009784.4,363.6,0
17/11/2020 14:29:31.606457,5009784.4,363.6,0
17/11/2020 14:29:32.607175,5009784.4,363.59,0
17/11/2020 14:29:33.607092,5009784.5,363.58,0
17/11/2020 14:29:34.606491,5009784.6,363.57,0
17/11/2020 14:29:35.607034,5009784.6,363.57,0
17/11/2020 14:29:36.607040,5009784.6,363.56,0
17/11/2020 14:29:37.607056,5009784.6,363.55,0
17/11/2020 14:29:38.607103,5009784.8,363.54,0
17/11/2020 14:29:39.607122,5009784.8,363.53,0
17/11/2020 14:29:40.606877,5009784.8,363.53,0
17/11/2020 14:29:41.607146,5009784.8,363.53,0
17/11/2020 14:29:42.607013,5009784.9,363.52,0
17/11/2020 14:29:43.606987,5009784.9,363.5,0
17/11/2020 14:29:44.606962,5009784.9,363.49,0
17/11/2020 14:29:45.606355,5009785,363.48,0
17/11/2020 14:29:46.606947,5009785,363.48,0
17/11/2020 14:29:47.607222,5009785,363.46,0
17/11/2020 14:29:48.606955,5009785,363.45,0
17/11/2020 14:29:49.607147,5009785,363.45,0
17/11/2020 14:29:50.606978,5009784.9,363.45,0
17/11/2020 14:29:51.607162,5009785,363.46,0
17/11/2020 14:29:52.607250,5009785,363.47,0
17/11/2020 14:29:53.605990,5009785,363.46,0
17/11/2020 14:29:54.606079,5009785,363.46,0
17/11/2020 14:29:55.605617,5009784.9,363.47,0
17/11/2020 14:29:56.606742,5009785,363.47,0
17/11/2020 14:29:57.607267,5009784.9,363.46,0
17/11/2020 14:29:58.607199,5009785,363.46,0
17/11/2020 14:29:59.605496,5009785,363.46,0
17/11/2020 14:30:0.607160,5009785,363.45,0
17/11/2020 14:30:1.607193,5009785.1,363.45,0
17/11/2020 14:30:2.607247,5009785,363.44,0
17/11/2020 14:30:3.607228,5009785,363.44,0
17/11/2020 14:30:4.607242,5009785.1,363.43,0
17/11/2020 14:30:5.606469,5009785,363.44,0
17/11/2020 14:30:6.607297,5009785,363.45,0
17/11/2020 14:30:7.607481,5009785,363.45,0
17/11/2020 14:30:8.607283,5009785.1,363.45,0
17/11/2020 14:30:9.607368,5009785.1,363.46,0
17/11/2020 14:30:10.607147,5009785.1,363.46,0
17/11/2020 14:30:11.607276,5009785.1,363.46,0
17/11/2020 14:30:12.607099,5009785.1,363.46,0
17/11/2020 14:30:13.607338,5009785.1,363.46,0
17/11/2020 14:30:14.606877,5009785.2,363.46,0
17/11/2020 14:30:15.607220,5009785.2,363.45,0
17/11/2020 14:30:16.606683,5009785.3,363.46,0
17/11/2020 14:30:17.606887,5009785.3,363.45,0
17/11/2020 14:30:18.607287,5009785.3,363.46,0
17/11/2020 14:30:19.606216,5009785.3,363.46,0
17/11/2020 14:30:20.607035,5009785.4,363.45,0
17/11/2020 14:30:21.607391,5009785.4,363.45,0
17/11/2020 14:30:22.607059,5009785.4,363.45,0
17/11/2020 14:30:23.606968,5009785.4,363.45,0
17/11/2020 14:30:24.607183,5009785.4,363.44,0
17/11/2020 14:30:25.607273,5009785.5,363.45,0
17/11/2020 14:30:26.607376,5009785.4,363.44,0
17/11/2020 14:30:27.607148,5009785.5,363.44,0
17/11/2020 14:30:28.607255,5009785.6,363.43,0
17/11/2020 14:30:29.606814,5009785.6,363.45,0
17/11/2020 14:30:30.607148,5009785.5,363.45,0
17/11/2020 14:30:31.607263,5009785.5,363.46,0
17/11/2020 14:30:32.607418,5009785.6,363.46,0
17/11/2020 14:30:33.606974,5009785.6,363.46,0
17/11/2020 14:30:34.607284,5009785.7,363.46,0
17/11/2020 14:30:35.606552,5009785.6,363.46,0
17/11/2020 14:30:36.606740,5009785.6,363.46,0
17/11/2020 14:30:37.606762,5009785.7,363.46,0
17/11/2020 14:30:38.607518,5009785.6,363.47,0
17/11/2020 14:30:39.607264,5009785.6,363.47,0
17/11/2020 14:30:40.607467,5009785.6,363.46,0
17/11/2020 14:30:41.607430,5009785.7,363.47,0
17/11/2020 14:30:42.607312,5009785.8,363.45,0
17/11/2020 14:30:43.606179,5009785.8,363.46,0
17/11/2020 14:30:44.606881,5009785.8,363.45,0
17/11/2020 14:30:45.607457,5009785.8,363.45,0
17/11/2020 14:30:46.606422,5009785.8,363.45,0
17/11/2020 14:30:47.607346,5009785.7,363.44,0
17/11/2020 14:30:48.606045,5009785.8,363.44,0
17/11/2020 14:30:49.607048,5009785.7,363.45,0
17/11/2020 14:30:50.607551,5009785.6,363.44,0
17/11/2020 14:30:51.607513,5009785.6,363.44,0
17/11/2020 14:30:52.607569,5009785.5,363.45,0
17/11/2020 14:30:53.606341,5009785.6,363.44,0
17/11/2020 14:30:54.607609,5009785.6,363.45,0
17/11/2020 14:30:55.607552,5009785.6,363.45,0
17/11/2020 14:30:56.607683,5009785.6,363.45,0
17/11/2020 14:30:57.607501,5009785.6,363.45,0
17/11/2020 14:30:58.606347,5009785.6,363.45,0
17/11/2020 14:30:59.607495,5009785.6,363.45,0
17/11/2020 14:31:0.606266,5009785.6,363.45,0
17/11/2020 14:31:1.607463,5009785.7,363.45,0
17/11/2020 14:31:2.607421,5009785.7,363.45,0
17/11/2020 14:31:3.607538,5009785.6,363.45,0
17/11/2020 14:31:4.607548,5009785.6,363.44,0
17/11/2020 14:31:5.606065,5009785.6,363.44,0
17/11/2020 14:31:6.607561,5009785.6,363.45,0
17/11/2020 14:31:7.607271,5009785.6,363.45,0
17/11/2020 14:31:8.607319,5009785.6,363.45,0
17/11/2020 14:31:9.606175,5009785.6,363.45,0
17/11/2020 14:31:10.607153,5009785.7,363.45,0
17/11/2020 14:31:11.606365,5009785.7,363.45,0
17/11/2020 14:31:12.606262,5009785.7,363.45,0
17/11/2020 14:31:13.607149,5009785.6,363.44,0
17/11/2020 14:31:14.606173,5009785.6,363.45,0
17/11/2020 14:31:15.606605,5009785.6,363.44,0
17/11/2020 14:31:16.606253,5009785.6,363.44,0
17/11/2020 14:31:17.606675,5009785.6,363.45,0
17/11/2020 14:31:18.607109,5009785.6,363.45,0
17/11/2020 14:31:19.606779,5009785.7,363.45,0
17/11/2020 14:31:20.607081,5009785.7,363.45,0
17/11/2020 14:31:21.606532,5009785.6,363.45,0
17/11/2020 14:31:22.606310,5009785.6,363.46,0
17/11/2020 14:31:23.606548,5009785.6,363.44,0
17/11/2020 14:31:24.607067,5009785.8,363.4,0
17/11/2020 14:31:25.607172,5009785.6,363.35,0
17/11/2020 14:31:26.606833,5009785.6,363.33,0
17/11/2020 14:31:27.607057,5009785.6,363.35,0
17/11/2020 14:31:28.607078,5009785.5,363.38,0
