Time,Frequency,Resistance,Anomaly
11/11/2020 15:27:3.508344,5009658.1,381.08,0
11/11/2020 15:27:4.507884,5009658.1,381.08,0
11/11/2020 15:27:5.508471,5009658,381.08,0
11/11/2020 15:27:6.508389,5009658,381.08,0
11/11/2020 15:27:7.508419,5009657.9,381.08,0
11/11/2020 15:27:8.508396,5009657.9,381.08,0
11/11/2020 15:27:9.508400,5009657.8,381.08,0
11/11/2020 15:27:10.508499,5009657.8,381.08,0
11/11/2020 15:27:11.507433,5009657.8,381.08,0
11/11/2020 15:27:12.508485,5009657.6,381.08,0
11/11/2020 15:27:13.508532,5009657.6,381.08,0
11/11/2020 15:27:14.508452,5009657.6,381.09,0
11/11/2020 15:27:15.507389,5009657.5,381.09,0
11/11/2020 15:27:16.508430,5009657.4,381.09,0
11/11/2020 15:27:17.508069,5009657.3,381.09,0
11/11/2020 15:27:18.508647,5009657.3,381.09,0
11/11/2020 15:27:19.508509,5009657.2,381.1,0
11/11/2020 15:27:20.508408,5009657.1,381.09,0
11/11/2020 15:27:21.508347,5009657,381.09,0
11/11/2020 15:27:22.507851,5009656.9,381.1,0
11/11/2020 15:27:23.508320,5009656.8,381.1,0
11/11/2020 15:27:24.508540,5009656.8,381.1,0
11/11/2020 15:27:25.508411,5009656.6,381.1,0
11/11/2020 15:27:26.508401,5009656.4,381.11,0
11/11/2020 15:27:27.507498,5009656.3,381.11,0
11/11/2020 15:27:28.507916,5009656.1,381.12,0
11/11/2020 15:27:29.508377,5009656.1,381.12,0
11/11/2020 15:27:30.507989,5009656,381.12,0
11/11/2020 15:27:31.508397,5009655.8,381.12,0
11/11/2020 15:27:32.507702,5009655.7,381.13,0
11/11/2020 15:27:33.508233,5009655.5,381.13,0
11/11/2020 15:27:34.508660,5009655.4,381.13,0
11/11/2020 15:27:35.508375,5009655.2,381.14,0
11/11/2020 15:27:36.508408,5009655,381.14,0
11/11/2020 15:27:37.507360,5009654.9,381.14,0
11/11/2020 15:27:38.508431,5009654.8,381.14,0
11/11/2020 15:27:39.508528,5009654.5,381.15,0
11/11/2020 15:27:40.508163,5009654.4,381.15,0
11/11/2020 15:27:41.508402,5009654.2,381.16,0
11/11/2020 15:27:42.507362,5009654.1,381.16,0
11/11/2020 15:27:43.508408,5009653.9,381.17,0
11/11/2020 15:27:44.507072,5009653.8,381.17,0
11/11/2020 15:27:45.508370,5009653.6,381.17,0
11/11/2020 15:27:46.507697,5009653.5,381.17,0
11/11/2020 15:27:47.508460,5009653.3,381.18,0
11/11/2020 15:27:48.508462,5009653.2,381.18,0
11/11/2020 15:27:49.508438,5009653.1,381.19,0
11/11/2020 15:27:50.508347,5009653,381.19,0
11/11/2020 15:27:51.507622,5009652.9,381.19,0
11/11/2020 15:27:52.508410,5009652.8,381.19,0
11/11/2020 15:27:53.508376,5009652.6,381.19,0
11/11/2020 15:27:54.508424,5009652.6,381.19,0
11/11/2020 15:27:55.508391,5009652.6,381.19,0
11/11/2020 15:27:56.508501,5009652.4,381.2,0
11/11/2020 15:27:57.508486,5009652.3,381.2,0
11/11/2020 15:27:58.508263,5009652.3,381.2,0
11/11/2020 15:27:59.508378,5009652.3,381.19,0
11/11/2020 15:28:0.508296,5009652.3,381.19,0
11/11/2020 15:28:1.508463,5009652.2,381.19,0
11/11/2020 15:28:2.508392,5009652.2,381.19,0
11/11/2020 15:28:3.507371,5009652.2,381.2,0
11/11/2020 15:28:4.507350,5009652.1,381.2,0
11/11/2020 15:28:5.507727,5009652.2,381.2,0
11/11/2020 15:28:6.508301,5009652.3,381.19,0
11/11/2020 15:28:7.507428,5009652.2,381.19,0
11/11/2020 15:28:8.507851,5009652.3,381.19,0
11/11/2020 15:28:9.508339,5009652.3,381.19,0
11/11/2020 15:28:10.508456,5009652.4,381.19,0
11/11/2020 15:28:11.508415,5009652.4,381.19,0
11/11/2020 15:28:12.508480,5009652.4,381.19,0
11/11/2020 15:28:13.508529,5009652.5,381.18,0
11/11/2020 15:28:14.508532,5009652.5,381.18,0
11/11/2020 15:28:15.508532,5009652.6,381.18,0
11/11/2020 15:28:16.508407,5009652.7,381.18,0
11/11/2020 15:28:17.508508,5009652.8,381.17,0
11/11/2020 15:28:18.508383,5009652.8,381.17,0
11/11/2020 15:28:19.508488,5009652.9,381.17,0
11/11/2020 15:28:20.508450,5009652.9,381.17,0
11/11/2020 15:28:21.508425,5009653.1,381.16,0
11/11/2020 15:28:22.508048,5009653.1,381.16,0
11/11/2020 15:28:23.507476,5009653.1,381.16,0
11/11/2020 15:28:24.507608,5009653.2,381.16,0
11/11/2020 15:28:25.508445,5009653.3,381.16,0
11/11/2020 15:28:26.508522,5009653.3,381.16,0
11/11/2020 15:28:27.508438,5009653.4,381.16,0
11/11/2020 15:28:28.508179,5009653.3,381.16,0
11/11/2020 15:28:29.508294,5009653.4,381.16,0
11/11/2020 15:28:30.508442,5009653.5,381.15,0
11/11/2020 15:28:31.508476,5009653.4,381.15,0
11/11/2020 15:28:32.509196,5009653.5,381.15,0
11/11/2020 15:28:33.510151,5009653.6,381.15,0
11/11/2020 15:28:34.510866,5009653.6,381.15,0
11/11/2020 15:28:35.511411,5009653.6,381.15,0
11/11/2020 15:28:36.512451,5009653.7,381.15,0
11/11/2020 15:28:37.508097,5009653.6,381.15,0
11/11/2020 15:28:38.508947,5009653.6,381.15,0
11/11/2020 15:28:39.509871,5009653.6,381.15,0
11/11/2020 15:28:40.510730,5009653.6,381.15,0
11/11/2020 15:28:41.508514,5009653.6,381.16,0
11/11/2020 15:28:42.508488,5009653.7,381.16,0
11/11/2020 15:28:43.508448,5009653.6,381.16,0
11/11/2020 15:28:44.508341,5009653.6,381.15,0
11/11/2020 15:28:45.508301,5009653.6,381.15,0
11/11/2020 15:28:46.508362,5009653.6,381.15,0
11/11/2020 15:28:47.508192,5009653.5,381.15,0
11/11/2020 15:28:48.508282,5009653.5,381.15,0
11/11/2020 15:28:49.508658,5009653.5,381.15,0
11/11/2020 15:28:50.509595,5009653.5,381.15,0
11/11/2020 15:28:51.510321,5009653.4,381.15,0
11/11/2020 15:28:52.511390,5009653.4,381.15,0
11/11/2020 15:28:53.512092,5009653.4,381.15,0
11/11/2020 15:28:54.512912,5009653.3,381.15,0
11/11/2020 15:28:55.508657,5009653.3,381.15,0
11/11/2020 15:28:56.509522,5009653.2,381.15,0
11/11/2020 15:28:57.510088,5009653.2,381.15,0
11/11/2020 15:28:58.507643,5009653.1,381.16,0
11/11/2020 15:28:59.507497,5009653,381.16,0
11/11/2020 15:29:0.507992,5009653,381.16,0
11/11/2020 15:29:1.508094,5009652.9,381.16,0
11/11/2020 15:29:2.507415,5009652.8,381.16,0
11/11/2020 15:29:3.508506,5009652.7,381.16,0
11/11/2020 15:29:4.507589,5009652.6,381.16,0
11/11/2020 15:29:5.508429,5009652.6,381.17,0
11/11/2020 15:29:6.508480,5009652.4,381.17,0
