Time,Frequency,Resistance,Anomaly
19/11/2020 13:19:2.441182,5009611.3,374.64,0
19/11/2020 13:19:3.472379,5009611,374.75,0
19/11/2020 13:19:4.503641,5009611,374.76,0
19/11/2020 13:19:5.539620,5009611.2,374.68,0
19/11/2020 13:19:6.574894,5009611.4,374.57,0
19/11/2020 13:19:7.609436,5009611.7,374.44,0
19/11/2020 13:19:8.640304,5009611.9,374.26,0
19/11/2020 13:19:9.677266,5009612.3,374.09,0
19/11/2020 13:19:10.713619,5009612.4,374.09,0
19/11/2020 13:19:11.747395,5009612.5,374.04,0
19/11/2020 13:19:12.782829,5009612.6,374.02,0
19/11/2020 13:19:13.816335,5009612.6,374,0
19/11/2020 13:19:14.849501,5009612.6,374,0
19/11/2020 13:19:15.881561,5009612.7,373.99,0
19/11/2020 13:19:16.917832,5009612.8,373.97,0
19/11/2020 13:19:17.952288,5009612.9,373.96,0
19/11/2020 13:19:18.983953,5009612.9,373.94,0
19/11/2020 13:19:20.18951,5009613.1,373.91,0
19/11/2020 13:19:21.52146,5009613.1,373.89,0
19/11/2020 13:19:22.85231,5009613.3,373.86,0
19/11/2020 13:19:23.117284,5009613.4,373.8,0
19/11/2020 13:19:24.148628,5009613.6,373.75,0
19/11/2020 13:19:25.180023,5009613.6,373.75,0
19/11/2020 13:19:26.212162,5009613.8,373.72,0
19/11/2020 13:19:27.246216,5009614,373.61,0
19/11/2020 13:19:28.277503,5009614.3,373.57,0
19/11/2020 13:19:29.311321,5009614.3,373.54,0
19/11/2020 13:19:30.346708,5009614.5,373.52,0
19/11/2020 13:19:31.378952,5009614.6,373.5,0
19/11/2020 13:19:32.414292,5009614.8,373.48,0
19/11/2020 13:19:33.447254,5009614.9,373.45,0
19/11/2020 13:19:34.482199,5009615,373.43,0
19/11/2020 13:19:35.515076,5009615.1,373.4,0
19/11/2020 13:19:36.547260,5009615.3,373.38,0
19/11/2020 13:19:37.582286,5009615.4,373.38,0
19/11/2020 13:19:38.613940,5009615.6,373.36,0
19/11/2020 13:19:39.648487,5009615.6,373.33,0
19/11/2020 13:19:40.679786,5009615.7,373.31,0
19/11/2020 13:19:41.714444,5009616,373.28,0
19/11/2020 13:19:42.750645,5009616,373.24,0
19/11/2020 13:19:43.787106,5009616.3,373.26,0
19/11/2020 13:19:44.821874,5009616.5,373.18,0
19/11/2020 13:19:45.857007,5009616.6,373.16,0
19/11/2020 13:19:46.892934,5009616.8,373.17,0
19/11/2020 13:19:47.928494,5009616.9,373.12,0
19/11/2020 13:19:48.965138,5009617,373.1,0
19/11/2020 13:19:50.1637,5009617.1,373.06,0
19/11/2020 13:19:51.35120,5009617.3,373.06,0
19/11/2020 13:19:52.68909,5009617.4,373.01,0
19/11/2020 13:19:53.104289,5009617.6,372.96,0
19/11/2020 13:19:54.136797,5009617.6,372.95,0
19/11/2020 13:19:55.172069,5009617.8,372.92,0
19/11/2020 13:19:56.208549,5009618,372.89,0
19/11/2020 13:19:57.241450,5009618.1,372.87,0
19/11/2020 13:19:58.278045,5009618.2,372.83,0
19/11/2020 13:19:59.314283,5009618.4,372.8,0
19/11/2020 13:20:0.350774,5009618.5,372.8,0
19/11/2020 13:20:1.382605,5009618.6,372.76,0
19/11/2020 13:20:2.417918,5009618.7,372.72,0
19/11/2020 13:20:3.454119,5009618.9,372.69,0
19/11/2020 13:20:4.489491,5009619,372.68,0
19/11/2020 13:20:5.526158,5009619.1,372.68,0
19/11/2020 13:20:6.561894,5009619.2,372.68,0
19/11/2020 13:20:7.596645,5009619.3,372.64,0
19/11/2020 13:20:8.630189,5009619.4,372.62,0
19/11/2020 13:20:9.664302,5009619.5,372.6,0
19/11/2020 13:20:10.700513,5009619.6,372.6,0
19/11/2020 13:20:11.736979,5009619.7,372.6,0
19/11/2020 13:20:12.773183,5009619.7,372.61,0
19/11/2020 13:20:13.804842,5009620,372.55,0
19/11/2020 13:20:14.839158,5009620.1,372.51,0
19/11/2020 13:20:15.871436,5009620.1,372.48,0
19/11/2020 13:20:16.908007,5009620.2,372.45,0
19/11/2020 13:20:17.942417,5009620.3,372.45,0
19/11/2020 13:20:18.976932,5009620.4,372.43,0
19/11/2020 13:20:20.11805,5009620.4,372.43,0
19/11/2020 13:20:21.47811,5009620.5,372.41,0
19/11/2020 13:20:22.79648,5009620.6,372.38,0
19/11/2020 13:20:23.111789,5009620.8,372.37,0
19/11/2020 13:20:24.148389,5009620.8,372.38,0
19/11/2020 13:20:25.184529,5009620.9,372.35,0
19/11/2020 13:20:26.220931,5009620.9,372.33,0
19/11/2020 13:20:27.252327,5009621,372.28,0
19/11/2020 13:20:28.285435,5009621.1,372.25,0
19/11/2020 13:20:29.321185,5009621.3,372.2,0
19/11/2020 13:20:30.356416,5009621.4,372.14,0
19/11/2020 13:20:31.391437,5009621.6,372.1,0
19/11/2020 13:20:32.424389,5009621.8,372.08,0
19/11/2020 13:20:33.460517,5009621.8,372.08,0
19/11/2020 13:20:34.495068,5009621.9,372.07,0
19/11/2020 13:20:35.527825,5009621.9,372.04,0
19/11/2020 13:20:36.564435,5009622,372.01,0
19/11/2020 13:20:37.599445,5009622.1,372.01,0
19/11/2020 13:20:38.632635,5009622.2,371.97,0
19/11/2020 13:20:39.666947,5009622.2,371.96,0
19/11/2020 13:20:40.703096,5009622.4,371.91,0
19/11/2020 13:20:41.739095,5009622.5,371.86,0
19/11/2020 13:20:42.775626,5009622.6,371.86,0
19/11/2020 13:20:43.811716,5009622.6,371.88,0
19/11/2020 13:20:44.847196,5009622.6,371.89,0
19/11/2020 13:20:45.881972,5009622.7,371.92,0
19/11/2020 13:20:46.916736,5009622.6,371.97,0
19/11/2020 13:20:47.950346,5009622.3,372.07,0
19/11/2020 13:20:48.986013,5009622.1,372.22,0
19/11/2020 13:20:50.18289,5009621.6,372.4,0
19/11/2020 13:20:51.54157,5009621.2,372.62,0
19/11/2020 13:20:52.89096,5009620.9,372.82,0
19/11/2020 13:20:53.120601,5009620.6,372.94,0
19/11/2020 13:20:54.155896,5009620.5,372.99,0
19/11/2020 13:20:55.189491,5009620.6,372.99,0
19/11/2020 13:20:56.223486,5009620.7,372.96,0
19/11/2020 13:20:57.257805,5009620.9,372.86,0
19/11/2020 13:20:58.293050,5009621.1,372.78,0
19/11/2020 13:20:59.328896,5009621.2,372.72,0
19/11/2020 13:21:0.366130,5009621.3,372.67,0
19/11/2020 13:21:1.400558,5009621.3,372.67,0
19/11/2020 13:21:2.433251,5009621.3,372.64,0
19/11/2020 13:21:3.469672,5009621.3,372.61,0
19/11/2020 13:21:4.504545,5009621.4,372.56,0
19/11/2020 13:21:5.536344,5009621.4,372.53,0
19/11/2020 13:21:6.572167,5009621.5,372.47,0
19/11/2020 13:21:7.605903,5009621.7,372.42,0
